title,abstract,token_count,arxiv_id,category,categories,query_field,published_date,collection_timestamp
MotiF: Making Text Count in Image Animation with Motion Focal Loss,"Text-Image-to-Video (TI2V) generation aims to generate a video from an image
following a text description, which is also referred to as text-guided image
animation. Most existing methods struggle to generate videos that align well
with the text prompts, particularly when motion is specified. To overcome this
limitation, we introduce MotiF, a simple yet effective approach that directs
the model's learning to the regions with more motion, thereby improving the
text alignment and motion generation. We use optical flow to generate a motion
heatmap and weight the loss according to the intensity of the motion. This
modified objective leads to noticeable improvements and complements existing
methods that utilize motion priors as model inputs. Additionally, due to the
lack of a diverse benchmark for evaluating TI2V generation, we propose TI2V
Bench, a dataset consists of 320 image-text pairs for robust evaluation. We
present a human evaluation protocol that asks the annotators to select an
overall preference between two videos followed by their justifications. Through
a comprehensive evaluation on TI2V Bench, MotiF outperforms nine open-sourced
models, achieving an average preference of 72%. The TI2V Bench is released in
https://wang-sj16.github.io/motif/.",263,2412.16153v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.910736
Offline Reinforcement Learning for LLM Multi-Step Reasoning,"Improving the multi-step reasoning ability of large language models (LLMs)
with offline reinforcement learning (RL) is essential for quickly adapting them
to complex tasks. While Direct Preference Optimization (DPO) has shown promise
in aligning LLMs with human preferences, it is less suitable for multi-step
reasoning tasks because (1) DPO relies on paired preference data, which is not
readily available for multi-step reasoning tasks, and (2) it treats all tokens
uniformly, making it ineffective for credit assignment in multi-step reasoning
tasks, which often come with sparse reward. In this work, we propose OREO
(Offline Reasoning Optimization), an offline RL method for enhancing LLM
multi-step reasoning. Building on insights from previous works of maximum
entropy reinforcement learning, it jointly learns a policy model and value
function by optimizing the soft Bellman Equation. We show in principle that it
reduces the need to collect pairwise data and enables better credit assignment.
Empirically, OREO surpasses existing offline learning methods on multi-step
reasoning benchmarks, including mathematical reasoning tasks (GSM8K, MATH) and
embodied agent control (ALFWorld). The approach can be extended to a
multi-iteration framework when additional resources are available. Furthermore,
the learned value function can be leveraged to guide the tree search for free,
which can further boost performance during test time.",288,2412.16145v1,cs.LG,"cs.LG,cs.AI,cs.CL",artificial intelligence,2024-12-20,2024-12-23T21:06:22.911734
Can LLMs Obfuscate Code? A Systematic Analysis of Large Language Models into Assembly Code Obfuscation,"Malware authors often employ code obfuscations to make their malware harder
to detect. Existing tools for generating obfuscated code often require access
to the original source code (e.g., C++ or Java), and adding new obfuscations is
a non-trivial, labor-intensive process. In this study, we ask the following
question: Can Large Language Models (LLMs) potentially generate a new
obfuscated assembly code? If so, this poses a risk to anti-virus engines and
potentially increases the flexibility of attackers to create new obfuscation
patterns. We answer this in the affirmative by developing the MetamorphASM
benchmark comprising MetamorphASM Dataset (MAD) along with three code
obfuscation techniques: dead code, register substitution, and control flow
change. The MetamorphASM systematically evaluates the ability of LLMs to
generate and analyze obfuscated code using MAD, which contains 328,200
obfuscated assembly code samples. We release this dataset and analyze the
success rate of various LLMs (e.g., GPT-3.5/4, GPT-4o-mini, Starcoder,
CodeGemma, CodeLlama, CodeT5, and LLaMA 3.1) in generating obfuscated assembly
code. The evaluation was performed using established information-theoretic
metrics and manual human review to ensure correctness and provide the
foundation for researchers to study and develop remediations to this risk. The
source code can be found at the following GitHub link:
https://github.com/mohammadi-ali/MetamorphASM.",348,2412.16135v1,cs.CR,"cs.CR,cs.AI,cs.CL",artificial intelligence,2024-12-20,2024-12-23T21:06:22.912733
Convolutional Deep Operator Networks for Learning Nonlinear Focused Ultrasound Wave Propagation in Heterogeneous Spinal Cord Anatomy,"Focused ultrasound (FUS) therapy is a promising tool for optimally targeted
treatment of spinal cord injuries (SCI), offering submillimeter precision to
enhance blood flow at injury sites while minimizing impact on surrounding
tissues. However, its efficacy is highly sensitive to the placement of the
ultrasound source, as the spinal cord's complex geometry and acoustic
heterogeneity distort and attenuate the FUS signal. Current approaches rely on
computer simulations to solve the governing wave propagation equations and
compute patient-specific pressure maps using ultrasound images of the spinal
cord anatomy. While accurate, these high-fidelity simulations are
computationally intensive, taking up to hours to complete parameter sweeps,
which is impractical for real-time surgical decision-making. To address this
bottleneck, we propose a convolutional deep operator network (DeepONet) to
rapidly predict FUS pressure fields in patient spinal cords. Unlike
conventional neural networks, DeepONets are well equipped to approximate the
solution operator of the parametric partial differential equations (PDEs) that
govern the behavior of FUS waves with varying initial and boundary conditions
(i.e., new transducer locations or spinal cord geometries) without requiring
extensive simulations. Trained on simulated pressure maps across diverse
patient anatomies, this surrogate model achieves real-time predictions with
only a 2% loss on the test set, significantly accelerating the modeling of
nonlinear physical systems in heterogeneous domains. By facilitating rapid
parameter sweeps in surgical settings, this work provides a crucial step toward
precise and individualized solutions in neurosurgical treatments.",328,2412.16118v1,physics.med-ph,"physics.med-ph,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.912733
Demystifying the Potential of ChatGPT-4 Vision for Construction Progress Monitoring,"The integration of Large Vision-Language Models (LVLMs) such as OpenAI's
GPT-4 Vision into various sectors has marked a significant evolution in the
field of artificial intelligence, particularly in the analysis and
interpretation of visual data. This paper explores the practical application of
GPT-4 Vision in the construction industry, focusing on its capabilities in
monitoring and tracking the progress of construction projects. Utilizing
high-resolution aerial imagery of construction sites, the study examines how
GPT-4 Vision performs detailed scene analysis and tracks developmental changes
over time. The findings demonstrate that while GPT-4 Vision is proficient in
identifying construction stages, materials, and machinery, it faces challenges
with precise object localization and segmentation. Despite these limitations,
the potential for future advancements in this technology is considerable. This
research not only highlights the current state and opportunities of using LVLMs
in construction but also discusses future directions for enhancing the model's
utility through domain-specific training and integration with other computer
vision techniques and digital twins.",209,2412.16108v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.913729
Explainable AI for Multivariate Time Series Pattern Exploration: Latent Space Visual Analytics with Time Fusion Transformer and Variational Autoencoders in Power Grid Event Diagnosis,"Detecting and analyzing complex patterns in multivariate time-series data is
crucial for decision-making in urban and environmental system operations.
However, challenges arise from the high dimensionality, intricate complexity,
and interconnected nature of complex patterns, which hinder the understanding
of their underlying physical processes. Existing AI methods often face
limitations in interpretability, computational efficiency, and scalability,
reducing their applicability in real-world scenarios. This paper proposes a
novel visual analytics framework that integrates two generative AI models, Time
Fusion Transformer (TFT) and Variational Autoencoders (VAEs), to reduce complex
patterns into lower-dimensional latent spaces and visualize them in 2D using
dimensionality reduction techniques such as PCA, t-SNE, and UMAP with DBSCAN.
These visualizations, presented through coordinated and interactive views and
tailored glyphs, enable intuitive exploration of complex multivariate temporal
patterns, identifying patterns' similarities and uncover their potential
correlations for a better interpretability of the AI outputs. The framework is
demonstrated through a case study on power grid signal data, where it
identifies multi-label grid event signatures, including faults and anomalies
with diverse root causes. Additionally, novel metrics and visualizations are
introduced to validate the models and evaluate the performance, efficiency, and
consistency of latent maps generated by TFT and VAE under different
configurations. These analyses provide actionable insights for model parameter
tuning and reliability improvements. Comparative results highlight that TFT
achieves shorter run times and superior scalability to diverse time-series data
shapes compared to VAE. This work advances fault diagnosis in multivariate time
series, fostering explainable AI to support critical system operations.",349,2412.16098v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.914726
Dual-Polarized Beyond Diagonal RIS,"Beyond diagonal reconfigurable intelligent surface (BD-RIS) is a family of
RIS architectures more flexible than conventional RIS. While BD-RIS has been
primarily analyzed assuming uni-polarized systems, modern wireless deployments
are dual-polarized. To address this gap, this paper investigates the
fundamental limits of dual-polarized BD-RIS-aided systems. We derive the
scaling laws governing the performance of BD-RIS and the Pareto frontier of the
trade-off between performance and circuit complexity enabled by BD-RIS.
Theoretical results show that the group-connected RIS with group size 2
provides remarkable gains over conventional RIS in both Rayleigh and
line-of-sight (LoS) channels, while maintaining a reduced circuit complexity.",166,2412.16097v1,cs.IT,"cs.IT,eess.SP,math.IT",artificial intelligence,2024-12-20,2024-12-23T21:06:22.915724
The Evolution of LLM Adoption in Industry Data Curation Practices,"As large language models (LLMs) grow increasingly adept at processing
unstructured text data, they offer new opportunities to enhance data curation
workflows. This paper explores the evolution of LLM adoption among
practitioners at a large technology company, evaluating the impact of LLMs in
data curation tasks through participants' perceptions, integration strategies,
and reported usage scenarios. Through a series of surveys, interviews, and user
studies, we provide a timely snapshot of how organizations are navigating a
pivotal moment in LLM evolution. In Q2 2023, we conducted a survey to assess
LLM adoption in industry for development tasks (N=84), and facilitated expert
interviews to assess evolving data needs (N=10) in Q3 2023. In Q2 2024, we
explored practitioners' current and anticipated LLM usage through a user study
involving two LLM-based prototypes (N=12). While each study addressed distinct
research goals, they revealed a broader narrative about evolving LLM usage in
aggregate. We discovered an emerging shift in data understanding from
heuristic-first, bottom-up approaches to insights-first, top-down workflows
supported by LLMs. Furthermore, to respond to a more complex data landscape,
data practitioners now supplement traditional subject-expert-created 'golden
datasets' with LLM-generated 'silver' datasets and rigorously validated 'super
golden' datasets curated by diverse experts. This research sheds light on the
transformative role of LLMs in large-scale analysis of unstructured data and
highlights opportunities for further tool development.",328,2412.16089v1,cs.HC,"cs.HC,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.915724
Towards Interpretable Radiology Report Generation via Concept Bottlenecks using a Multi-Agentic RAG,"Deep learning has advanced medical image classification, but interpretability
challenges hinder its clinical adoption. This study enhances interpretability
in Chest X-ray (CXR) classification by using concept bottleneck models (CBMs)
and a multi-agent Retrieval-Augmented Generation (RAG) system for report
generation. By modeling relationships between visual features and clinical
concepts, we create interpretable concept vectors that guide a multi-agent RAG
system to generate radiology reports, enhancing clinical relevance,
explainability, and transparency. Evaluation of the generated reports using an
LLM-as-a-judge confirmed the interpretability and clinical utility of our
model's outputs. On the COVID-QU dataset, our model achieved 81% classification
accuracy and demonstrated robust report generation performance, with five key
metrics ranging between 84% and 90%. This interpretable multi-agent framework
bridges the gap between high-performance AI and the explainability required for
reliable AI-driven CXR analysis in clinical settings.",202,2412.16086v1,cs.IR,"cs.IR,cs.AI,cs.CL,cs.CV,eess.IV",artificial intelligence,2024-12-20,2024-12-23T21:06:22.916720
Benchmarking stochasticity behind reproducibility: denoising strategies in Ta$_2$O$_5$ memristors,"Reproducibility, endurance, driftless data retention, and fine resolution of
the programmable conductance weights are key technological requirements against
memristive artificial synapses in neural network applications. However, the
inherent fluctuations in the active volume impose severe constraints on the
weight resolution. In order to understand and push these limits, a
comprehensive noise benchmarking and noise reduction protocol is introduced.
Our approach goes beyond the measurement of steady-state readout noise levels
and tracks the voltage-dependent noise characteristics all along the resistive
switching $I(V)$ curves. Furthermore, we investigate the tunability of the
noise level by dedicated voltage cycling schemes in our filamentary Ta$_2$O$_5$
memristors. This analysis highlights a broad, order-of-magnitude variability of
the possible noise levels behind seemingly reproducible switching cycles. Our
nonlinear noise spectroscopy measurements identify a subthreshold voltage
region with voltage-boosted fluctuations. This voltage range enables the
reconfiguration of the fluctuators without resistive switching, yielding a
highly denoised state within a few subthreshold cycles.",235,2412.16080v1,cond-mat.mes-hall,"cond-mat.mes-hall,cond-mat.mtrl-sci",artificial intelligence,2024-12-20,2024-12-23T21:06:22.917719
