Model,Title-Own Abstract Mean,Title-Own Abstract Std,Title-Diff Abstract (Same Field) Mean,Title-Diff Abstract (Same Field) Std,Title-Diff Abstract (Diff Field) Mean,Title-Diff Abstract (Diff Field) Std,Abstract-Abstract (Same Field) Mean,Abstract-Abstract (Same Field) Std,Abstract-Abstract (Diff Field) Mean,Abstract-Abstract (Diff Field) Std
Bedrock,0.710,0.132,0.110,0.146,0.029,0.060,0.136,0.192,0.033,0.062
Specter,0.788,0.063,0.666,0.081,0.594,0.087,0.825,0.062,0.739,0.065
SciBERT,0.714,0.057,0.654,0.058,0.614,0.064,0.894,0.036,0.845,0.043
BioLinkBERT,0.851,0.047,0.808,0.046,0.780,0.046,0.922,0.029,0.879,0.037
BiomedNLP,0.962,0.011,0.952,0.013,0.944,0.015,0.986,0.006,0.978,0.009
S-BioBert,0.637,0.112,0.388,0.128,0.276,0.111,0.606,0.122,0.443,0.117
BioBERT-NLI,0.608,0.114,0.458,0.110,0.390,0.102,0.695,0.102,0.598,0.098
MPNet,0.714,0.102,0.276,0.153,0.072,0.108,0.372,0.182,0.101,0.127
MiniLM-L6,0.667,0.098,0.248,0.143,0.067,0.104,0.355,0.179,0.113,0.123
QA-MPNet,0.673,0.064,0.430,0.085,0.359,0.072,0.611,0.099,0.519,0.072
DistilRoBERTa,0.593,0.099,0.214,0.131,0.072,0.089,0.408,0.161,0.223,0.120
RoBERTa-Large-ST,0.601,0.086,0.210,0.128,0.066,0.086,0.433,0.153,0.268,0.099
MS-Marco,0.582,0.125,0.254,0.128,0.160,0.100,0.361,0.172,0.226,0.107
MiniLM-L12,0.688,0.099,0.249,0.146,0.065,0.104,0.345,0.179,0.099,0.120
Multi-MiniLM,0.495,0.132,0.283,0.111,0.177,0.109,0.599,0.142,0.464,0.154
E5-Base,0.848,0.032,0.737,0.038,0.698,0.033,0.809,0.046,0.764,0.029
E5-Large,0.890,0.027,0.766,0.037,0.720,0.031,0.814,0.045,0.762,0.030
BERT-Base,0.779,0.067,0.723,0.067,0.668,0.075,0.912,0.036,0.856,0.055
BERT-Large,0.845,0.051,0.800,0.052,0.756,0.059,0.934,0.027,0.889,0.042
RoBERTa-Base,0.926,0.020,0.919,0.018,0.918,0.020,0.984,0.010,0.977,0.014
DistilBERT,0.837,0.050,0.790,0.051,0.744,0.059,0.932,0.028,0.887,0.043
BGE-Base,0.887,0.024,0.783,0.035,0.731,0.036,0.861,0.039,0.797,0.038
BGE-Large,0.925,0.023,0.807,0.038,0.745,0.038,0.839,0.044,0.765,0.039
BioBERT,0.886,0.034,0.860,0.032,0.839,0.033,0.954,0.019,0.929,0.025
BiomedVLP,0.778,0.061,0.728,0.060,0.701,0.059,0.905,0.034,0.860,0.042
GTE-Base,0.919,0.027,0.774,0.042,0.718,0.033,0.780,0.055,0.714,0.035
GTE-Large,0.926,0.026,0.779,0.042,0.719,0.035,0.786,0.053,0.717,0.036
Contriever,0.664,0.078,0.401,0.086,0.321,0.065,0.529,0.114,0.421,0.068
