title,token_count,arxiv_id,category,categories,query_field,published_date,collection_timestamp
DrivingGPT: Unifying Driving World Modeling and Planning with Multi-modal Autoregressive Transformers,176,2412.18607v1,cs.CV,cs.CV,artificial intelligence,2024-12-24,2024-12-26T11:24:07.865205
Decentralized Intelligence in GameFi: Embodied AI Agents and the Convergence of DeFi and Virtual Ecosystems,331,2412.18601v1,cs.CR,"cs.CR,cs.AI,cs.GT,cs.LG,cs.MA",artificial intelligence,2024-12-24,2024-12-26T11:24:07.866199
DiTCtrl: Exploring Attention Control in Multi-Modal Diffusion Transformer for Tuning-Free Multi-Prompt Longer Video Generation,295,2412.18597v1,cs.CV,"cs.CV,cs.AI,cs.MM",artificial intelligence,2024-12-24,2024-12-26T11:24:07.866199
Modeling the Centaur: Human-Machine Synergy in Sequential Decision Making,363,2412.18593v1,cs.HC,cs.HC,artificial intelligence,2024-12-24,2024-12-26T11:24:07.867196
"A Paragraph is All It Takes: Rich Robot Behaviors from Interacting, Trusted LLMs",307,2412.18588v1,cs.RO,"cs.RO,cs.AI,cs.SY,eess.SY",artificial intelligence,2024-12-24,2024-12-26T11:24:07.868193
New method of image processing via statistical analysis for application in intelligent systems,71,2412.18575v1,physics.data-an,"physics.data-an,cond-mat.mes-hall,eess.IV",artificial intelligence,2024-12-24,2024-12-26T11:24:07.868193
How Well Do LLMs Generate Code for Different Application Domains? Benchmark and Evaluation,326,2412.18573v1,cs.SE,"cs.SE,cs.AI,cs.CL",artificial intelligence,2024-12-24,2024-12-26T11:24:07.869191
Dynamic Optimization of Portfolio Allocation Using Deep Reinforcement Learning,229,2412.18563v1,q-fin.PM,q-fin.PM,artificial intelligence,2024-12-24,2024-12-26T11:24:07.870188
Token-Budget-Aware LLM Reasoning,200,2412.18547v1,cs.CL,"cs.CL,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.871185
Advancing Deformable Medical Image Registration with Multi-axis Cross-covariance Attention,368,2412.18545v1,eess.IV,"eess.IV,cs.AI,cs.CV",artificial intelligence,2024-12-24,2024-12-26T11:24:07.872183
Consistency Checks for Language Model Forecasters,267,2412.18544v1,cs.LG,"cs.LG,cs.AI,cs.CL,stat.ML",artificial intelligence,2024-12-24,2024-12-26T11:24:07.872183
Characterizations of Language Generation With Breadth,402,2412.18530v1,cs.LG,"cs.LG,cs.AI,cs.CL,cs.DS,stat.ML",artificial intelligence,2024-12-24,2024-12-26T11:24:07.873180
Large Language Model guided Deep Reinforcement Learning for Decision Making in Autonomous Driving,287,2412.18511v1,cs.RO,cs.RO,artificial intelligence,2024-12-24,2024-12-26T11:24:07.874177
Joint Adaptive OFDM and Reinforcement Learning Design for Autonomous Vehicles: Leveraging Age of Updates,363,2412.18500v1,eess.SP,"eess.SP,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.875175
"How ""Real"" is Your Real-Time Simultaneous Speech-to-Text Translation System?",211,2412.18495v1,cs.CL,"cs.CL,cs.AI,cs.SD,eess.AS",artificial intelligence,2024-12-24,2024-12-26T11:24:07.876172
An Overview and Discussion of the Suitability of Existing Speech Datasets to Train Machine Learning Models for Collective Problem Solving,132,2412.18489v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.876172
MotifGPL: Motif-Enhanced Graph Prototype Learning for Deciphering Urban Social Segregation,313,2412.18464v1,cs.AI,"cs.AI,cs.SI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.877169
GeFL: Model-Agnostic Federated Learning with Generative Models,224,2412.18460v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.878167
Multi-Agent Norm Perception and Induction in Distributed Healthcare,149,2412.18454v1,cs.AI,"cs.AI,cs.MA,I.2.11; J.3",artificial intelligence,2024-12-24,2024-12-26T11:24:07.878167
3DGraphLLM: Combining Semantic Graphs and Large Language Models for 3D Scene Understanding,263,2412.18450v1,cs.CV,cs.CV,artificial intelligence,2024-12-24,2024-12-26T11:24:07.879165
SoK: On the Offensive Potential of AI,290,2412.18442v1,cs.CR,"cs.CR,cs.AI,cs.CY,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.880162
GeAR: Graph-enhanced Agent for Retrieval-augmented Generation,145,2412.18431v1,cs.CL,"cs.CL,cs.AI,cs.IR",artificial intelligence,2024-12-24,2024-12-26T11:24:07.880162
Field-free current-induced magnetization switching of a room temperature van der Waals magnet for neuromorphic computing,320,2412.18429v1,physics.app-ph,physics.app-ph,artificial intelligence,2024-12-24,2024-12-26T11:24:07.881159
Explainable Multi-Modal Data Exploration in Natural Language via LLM Agent,280,2412.18428v1,cs.AI,"cs.AI,cs.CL",artificial intelligence,2024-12-24,2024-12-26T11:24:07.882156
GUI Testing Arena: A Unified Benchmark for Advancing Autonomous GUI Testing Agent,282,2412.18426v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.882156
"LongDocURL: a Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning, and Locating",200,2412.18424v1,cs.AI,"cs.AI,cs.CL",artificial intelligence,2024-12-24,2024-12-26T11:24:07.883154
Research on the Proximity Relationships of Psychosomatic Disease Knowledge Graph Modules Extracted by Large Language Models,233,2412.18419v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.884151
All-electric mimicking synaptic plasticity based on the noncollinear antiferromagnetic device,314,2412.18418v1,physics.app-ph,physics.app-ph,artificial intelligence,2024-12-24,2024-12-26T11:24:07.885148
Multilingual Mathematical Reasoning: Advancing Open-Source LLMs in Hindi and English,244,2412.18415v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.885148
Exploring Flexible Scenario Generation in Godot Simulator,145,2412.18408v1,cs.AI,cs.AI,artificial intelligence,2024-12-24,2024-12-26T11:24:07.886146
A Statistical Framework for Ranking LLM-Based Chatbots,240,2412.18407v1,stat.ML,"stat.ML,cs.AI,cs.LG",artificial intelligence,2024-12-24,2024-12-26T11:24:07.886146
TPAoI: Ensuring Fresh Service Status at the Network Edge in Compute-First Networking,248,2412.18391v1,cs.NI,"cs.NI,cs.AI",artificial intelligence,2024-12-24,2024-12-26T11:24:07.887143
