Model,Score,Own Title-Abstract,Same Field Separation,Avg Std
Bedrock,0.451,0.703,0.293,0.174
MiniLM-L12,0.447,0.689,0.406,0.157
MPNet,0.442,0.699,0.397,0.160
MiniLM-L6,0.440,0.668,0.390,0.152
DistilRoBERTa,0.410,0.593,0.304,0.145
RoBERTa-Large-ST,0.408,0.590,0.279,0.136
MS-Marco,0.384,0.576,0.245,0.148
S-BioBert,0.362,0.646,0.262,0.127
Multi-MiniLM,0.359,0.503,0.236,0.132
Contriever,0.357,0.662,0.204,0.107
QA-MPNet,0.341,0.674,0.182,0.102
BioBERT-NLI,0.318,0.616,0.186,0.110
Specter,0.284,0.778,0.138,0.072
GTE-Large,0.277,0.925,0.128,0.048
GTE-Base,0.275,0.919,0.118,0.048
E5-Large,0.269,0.891,0.102,0.044
E5-Base,0.267,0.845,0.094,0.044
BGE-Large,0.267,0.923,0.117,0.043
BGE-Base,0.263,0.888,0.100,0.039
SciBERT,0.262,0.712,0.075,0.049
BERT-Base,0.255,0.762,0.077,0.059
BiomedVLP,0.251,0.771,0.071,0.046
DistilBERT,0.244,0.827,0.062,0.043
BERT-Large,0.241,0.842,0.061,0.042
BioLinkBERT,0.239,0.845,0.065,0.038
DeBERTa-MNLI,0.230,0.749,0.049,0.070
BioBERT,0.227,0.882,0.037,0.027
DeBERTa-V3-Large,0.216,0.861,0.015,0.028
DeBERTa-V3-Base,0.212,0.881,0.015,0.030
Longformer,0.211,0.926,0.012,0.014
RoBERTa-Base,0.210,0.926,0.011,0.014
BiomedNLP,0.208,0.962,0.012,0.010
RoBERTa-Large,0.202,0.992,0.003,0.002
